epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.311,0.89696,1.63122,1.13031,0.83354,0.74595,0.81149,0.68836,0.57338,0.79839,0.98977,0.00332265,0.00332265,0.00332265
2,272.232,0.79061,0.78342,1.05343,0.89394,0.68598,0.80758,0.67997,0.65719,0.86004,1.02286,0.00662304,0.00662304,0.00662304
3,405.923,0.83567,0.84956,1.08066,0.82472,0.71056,0.76799,0.6108,0.83058,1.06427,1.12499,0.00989042,0.00989042,0.00989042
4,539.325,0.90355,0.88653,1.1136,0.75022,0.67969,0.74174,0.57813,0.86721,1.1982,1.1668,0.0098515,0.0098515,0.0098515
5,672.993,0.88335,0.82172,1.11779,0.7921,0.71739,0.78337,0.65018,0.72358,1.00333,1.07217,0.009802,0.009802,0.009802
6,806.551,0.85265,0.77793,1.10182,0.86911,0.74347,0.83542,0.6776,0.72467,0.80516,1.08477,0.0097525,0.0097525,0.0097525
7,940.266,0.83123,0.73373,1.10057,0.81943,0.78377,0.8389,0.68134,0.71886,0.85772,1.08435,0.009703,0.009703,0.009703
8,1074.06,0.79869,0.68822,1.08875,0.72006,0.64005,0.70368,0.53614,0.90181,1.21696,1.24149,0.0096535,0.0096535,0.0096535
9,1207.56,0.77087,0.65343,1.06356,0.84462,0.8039,0.84492,0.71963,0.63559,0.73524,1.0406,0.009604,0.009604,0.009604
10,1341.12,0.76414,0.62696,1.06373,0.90886,0.78184,0.85328,0.72145,0.63723,0.73199,1.04941,0.0095545,0.0095545,0.0095545
11,1474.77,0.73721,0.59177,1.05064,0.86333,0.73297,0.80889,0.66289,0.81586,0.85038,1.07706,0.009505,0.009505,0.009505
12,1608.35,0.72138,0.59093,1.04536,0.91312,0.80488,0.85934,0.7416,0.64721,0.65896,1.04837,0.0094555,0.0094555,0.0094555
13,1741.95,0.71665,0.5688,1.04817,0.91193,0.82792,0.87421,0.76863,0.60202,0.61224,1.03445,0.009406,0.009406,0.009406
14,1875.69,0.69749,0.55069,1.03519,0.93497,0.81684,0.89425,0.77946,0.58283,0.6026,1.00596,0.0093565,0.0093565,0.0093565
15,2009.25,0.67849,0.53089,1.03099,0.95287,0.80808,0.88045,0.76011,0.60547,0.60551,1.03183,0.009307,0.009307,0.009307
16,2142.77,0.66591,0.52389,1.02298,0.92727,0.83829,0.89422,0.785,0.57909,0.53762,1.02937,0.0092575,0.0092575,0.0092575
